WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (114.368661 -8.2206499)",821.0,15.0,Kabupaten Banyuwangi,1501.0,2.0,-8.2206499,114.368661,1.0
"POINT (111.5199026 -7.6132905)",823.0,15.0,Kabupaten Madiun,1502.0,2.0,-7.6132905,111.5199026,1.0
"POINT (111.4664751 -7.8669343)",824.0,15.0,Kabupaten Ponorogo,1503.0,2.0,-7.8669343,111.4664751,1.0
"POINT (111.3275163 -7.6555937)",825.0,15.0,Kabupaten Magetan,1504.0,2.0,-7.6555937,111.3275163,1.0
"POINT (111.1055428 -8.1799769)",826.0,15.0,Kabupaten Pacitan,1505.0,2.0,-8.1799769,111.1055428,1.0
"POINT (111.4317176 -7.4072937)",827.0,15.0,Kabupaten Ngawi,1506.0,2.0,-7.4072937,111.4317176,1.0
"POINT (112.7512724 -7.0256652)",828.0,15.0,Kabupaten Bangkalan,1507.0,2.0,-7.0256652,112.7512724,1.0
"POINT (112.032356 -7.809356)",829.0,15.0,Kabupaten Kediri,1508.0,2.0,-7.809356,112.032356,1.0
"POINT (113.823096 -7.9154937)",830.0,15.0,Kabupaten Bondowoso,1509.0,2.0,-7.9154937,113.823096,1.0
"POINT (112.1651653 -8.0979579)",831.0,15.0,Kabupaten Blitar,1510.0,2.0,-8.0979579,112.1651653,1.0
"POINT (111.7091994 -8.0488102)",832.0,15.0,Kabupaten Trenggalek,1511.0,2.0,-8.0488102,111.7091994,1.0
"POINT (111.9007725 -8.0648821)",833.0,15.0,Kabupaten Tulungagung,1512.0,2.0,-8.0648821,111.9007725,1.0
"POINT (111.900778 -7.6023365)",834.0,15.0,Kabupaten Nganjuk,1513.0,2.0,-7.6023365,111.900778,1.0
"POINT (114.0056443 -7.7060213)",835.0,15.0,Kabupaten Situbondo,1514.0,2.0,-7.7060213,114.0056443,1.0
"POINT (112.6884549 -8.0495643)",836.0,15.0,Kabupaten Malang,1515.0,2.0,-8.0495643,112.6884549,1.0
"POINT (113.701847 -8.1692984)",837.0,15.0,Kabupaten Jember,1516.0,2.0,-8.1692984,113.701847,1.0
"POINT (113.860357 -7.0081693)",838.0,15.0,Kabupaten Sumenep,1517.0,2.0,-7.0081693,113.860357,1.0
"POINT (112.9018285 -7.6934311)",839.0,15.0,Kabupaten Pasuruan,1518.0,2.0,-7.6934311,112.9018285,1.0
"POINT (113.4825454 -7.1606203)",840.0,15.0,Kabupaten Pamekasan,1519.0,2.0,-7.1606203,113.4825454,1.0
"POINT (113.210675 -7.753965)",841.0,15.0,Kabupaten Probolinggo,1520.0,2.0,-7.753965,113.210675,1.0
"POINT (113.2244338 -8.135174)",842.0,15.0,Kabupaten Lumajang,1521.0,2.0,-8.135174,113.2244338,1.0
"POINT (111.8801521 -7.1489453)",843.0,15.0,Kabupaten Bojonegoro,1522.0,2.0,-7.1489453,111.8801521,1.0
"POINT (112.0652078 -6.895049)",844.0,15.0,Kabupaten Tuban,1523.0,2.0,-6.895049,112.0652078,1.0
"POINT (112.4145189 -7.1178121)",845.0,15.0,Kabupaten Lamongan,1524.0,2.0,-7.406153,109.3946794,1.0
"POINT (112.7180255 -7.4466448)",846.0,15.0,Kabupaten Sidoarjo,1525.0,2.0,-7.4466448,112.7180255,1.0
"POINT (113.240891 -7.1884035)",847.0,15.0,Kabupaten Sampang,1526.0,2.0,-7.1884035,113.240891,1.0
"POINT (112.4399445 -7.4892451)",848.0,15.0,Kabupaten Mojokerto,1527.0,2.0,-7.4892451,112.4399445,1.0
"POINT (112.6555 -7.15665)",849.0,15.0,Kabupaten Gresik,1528.0,2.0,-7.15665,112.6555,1.0
"POINT (112.23326 -7.5567946)",850.0,15.0,Kabupaten Jombang,1529.0,2.0,-7.5567946,112.23326,1.0
"POINT (112.4320232 -7.4635843)",851.0,15.0,Kota Mojokerto,1530.0,2.0,-7.4635843,112.4320232,1.0
"POINT (112.7452127 -7.2640071)",852.0,15.0,Kota Surabaya,1531.0,2.0,-7.2640071,112.7452127,1.0
"POINT (111.5293109 -7.6316004)",853.0,15.0,Kota Madiun,1532.0,2.0,-7.6316004,111.5293109,1.0
"POINT (112.1609434 -8.09573)",854.0,15.0,Kota Blitar,1533.0,2.0,-8.09573,112.1609434,1.0
"POINT (112.6309018 -7.9828715)",855.0,15.0,Kota Malang,1534.0,2.0,-7.9828715,112.6309018,1.0
"POINT (112.5269041 -7.8712661)",856.0,15.0,Kota Batu,1535.0,2.0,-7.8712661,112.5269041,1.0
"POINT (112.9066873 -7.6419371)",857.0,15.0,Kota Pasuruan,1536.0,2.0,-7.6419371,112.9066873,1.0
"POINT (112.0110547 -7.8265037)",858.0,15.0,Kota Kediri,1537.0,2.0,-7.8265037,112.0110547,1.0
